Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Entamoeba nuttalli P19,AmoebaDB,GenBank,GCF_000257125.1,"Mar 18, 2015",yes,0,5233,0,6187,6,0,N/A,6187,3865,490,1076696,no,10,   14.40,GenBank,Entamoeba nuttalli,P19,N/A,N/A,6193,N/A,438,N/A
Fusarium odoratissimum NRRL 54006,FungiDB,GenBank,GCA_000260195.2,"Mar 23, 2015",no,0,418,0,16634,341,7,N/A,16634,10224,1677,1089451,no,10,   46.55,GenBank,Fusarium odoratissimum,NRRL 54006,N/A,N/A,16975,N/A,119777,N/A
Fusarium oxysporum f. sp. melonis 26406,FungiDB,GenBank,GCA_000260495.2,"Dec 24, 2017",no,0,1146,0,19661,372,0,N/A,19661,11249,1823,1089452,no,10,   54.03,GenBank,Fusarium oxysporum,f. sp. melonis 26406,N/A,2692,20033,N/A,120433,N/A
Phytophthora sojae strain P6497,FungiDB,GenBank,GCA_000149755.2,"Mar 14, 2015",yes,0,82,0,26489,1653,0,14,26489,9258,1551,1094619,no,10,   82.60,GenBank,Phytophthora sojae,strain P6497,N/A,N/A,28142,N/A,85337,N/A
Taphrina deformans PYCC 5710,FungiDB,INSDC,GCA_000312925.2,"May 01, 2013",yes,0,403,0,4663,17,7,N/A,4663,3482,590,1097556,no,10,   13.39,GenBank,Taphrina deformans,PYCC 5710,N/A,711,4680,N/A,390,N/A
Claviceps purpurea 20.1,FungiDB,INSDC,GCA_000347355.1,2013-04-15,yes,0,191,0,8823,156,45,N/A,8823,5729,916,1111077,no,10,   32.09,GenBank,Claviceps purpurea,20.1,N/A,2637,8979,N/A,5828,N/A
Plasmodium cynomolgi strain B,PlasmoDB,GenBank,GCA_000321355.1,"Sep 19, 2012",no,0,1649,14,5716,60,0,8,5716,3274,449,1120755,no,10,   26.18,GenBank,Plasmodium cynomolgi,strain B,N/A,N/A,5776,N/A,66156,N/A
Toxoplasma gondii GAB2-2007-GAL-DOM2,ToxoDB,GenBank,GCA_000325525.2,"Aug 13, 2014",no,0,2481,0,9136,160,0,N/A,9136,5433,1503,1130820,yes,10,   63.55,GenBank,Toxoplasma gondii,GAB2-2007-GAL-DOM2,N/A,5140,9296,N/A,6922,N/A
Toxoplasma gondii TgCatPRC2,ToxoDB,GenBank,GCA_000256725.2,"Mar 23, 2016",no,0,3060,0,10121,179,0,N/A,10121,5945,527,1130821,yes,10,   64.19,GenBank,Toxoplasma gondii,TgCatPRC2,N/A,5404,10300,N/A,7706,N/A
Babesia microti strain RI,PiroplasmaDB,GenBank,GCA_000691945.2,"Jul 12, 2017",yes,0,0,4,3601,84,0,9,3601,2365,721,1133968,yes,10,    6.43,GenBank,Babesia microti,strain RI,N/A,N/A,3685,N/A,6264,522
Pleurotus ostreatus PC15,FungiDB,INSDC,GCA_000697685.1,2014-06-05,yes,0,12,0,12296,164,3,N/A,12296,7248,1007,1137138,no,10,   34.34,GenBank,Pleurotus ostreatus,PC15,N/A,4978,12460,N/A,11170,N/A
Aspergillus luchuensis CBS 106.47,FungiDB,GenBank,GCA_001890685.1,"Dec 12, 2016",yes,0,100,0,13502,282,0,N/A,13502,8661,1505,1137211,no,10,   37.45,GenBank,Aspergillus luchuensis,CBS 106.47,N/A,N/A,13784,N/A,49263,N/A
Anncaliia algerae Undeen,MicrosporidiaDB,GenBank,GCA_000313815.1,n/a,no,8427,0,0,0,0,0,N/A,N/A,N/A,N/A,1150868,no,10,   13.82,n/a,Anncaliia algerae,Undeen,N/A,N/A,N/A,N/A,N/A,N/A
Saprolegnia diclina VS20,FungiDB,GenBank,GCA_000281045.1,"Mar 19, 2015",yes,0,390,0,17359,89,0,2,17359,11145,1364,1156394,no,10,   62.89,GenBank,Saprolegnia diclina,VS20,N/A,N/A,17448,N/A,1328,N/A
Hortaea werneckii EXF-2000,FungiDB,INSDC,GCA_002127715.1,"May 11, 2017",yes,0,628,0,15620,29,0,N/A,15620,11803,1776,1157616,yes,10,   49.78,GenBank,Hortaea werneckii,EXF-2000,N/A,122,15649,N/A,98,N/A
Aspergillus glaucus CBS 516.65,FungiDB,GenBank,GCA_001890805.1,"Dec 12, 2016",yes,0,82,0,11254,175,0,1,11254,7365,1341,1160497,no,10,   27.99,GenBank,Aspergillus glaucus,CBS 516.65,N/A,N/A,11429,N/A,44603,N/A
Chromera velia CCMP2878,CryptoDB,GenBank,GCA_018398765.1,"May 19, 2021",yes,0,5966,0,30596,0,0,17,30596,12693,909,1169474,no,10,  193.89,PainLab,Chromera velia,CCMP2878,N/A,1604,30596,N/A,23095,N/A
Vitrella brassicaformis CCMP3155,CryptoDB,GenBank,GCA_001179505.1,"May 15, 2014",yes,0,1064,0,23247,165,165,8,23247,10988,1433,1169540,no,10,   72.70,PainLab,Vitrella brassicaformis,CCMP3155,N/A,N/A,23412,N/A,21,N/A
Encephalitozoon romaleae SJ-2008,MicrosporidiaDB,GenBank,GCA_000280035.2,"Oct 1, 2014",yes,0,0,13,1831,52,1,N/A,1831,1311,239,1178016,no,10,    2.19,GenBank,Encephalitozoon romaleae,SJ-2008,N/A,N/A,1883,N/A,47,N/A
Cladophialophora psammophila CBS 110553,FungiDB,INSDC,GCA_000585535.1,"Mar 05, 2014",yes,0,123,0,13421,0,0,N/A,13421,9325,1053,1182543,no,10,   39.42,GenBank,Cladophialophora psammophila,CBS 110553,N/A,N/A,13421,N/A,154,N/A
Exophiala aquamarina CBS 119918,FungiDB,INSDC,GCA_000709125.1,"Jun 16, 2014",yes,0,151,0,13118,0,0,N/A,13118,9403,1073,1182545,no,10,   41.57,GenBank,Exophiala aquamarina,CBS 119918,N/A,N/A,13118,N/A,493,N/A
Trichosporon asahii var. asahii CBS 2479,FungiDB,INSDC,GCA_000293215.1,"Mar 19, 2015",yes,0,77,0,8311,523,0,N/A,8311,4997,676,1186058,yes,10,   24.54,GenBank,Trichosporon asahii,var. asahii CBS 2479,N/A,N/A,8834,N/A,181,N/A
Toxoplasma gondii CtCo5,ToxoDB,GenBank,GCA_000278365.1,"Jul 17, 2012",no,6177,0,0,0,0,0,N/A,N/A,N/A,N/A,1194599,no,10,   62.62,GenBank,Toxoplasma gondii,CtCo5,N/A,N/A,N/A,N/A,N/A,N/A
Verticillium dahliae JR2,FungiDB,INSDC,GCA_000400815.2,N/A,yes,0,0,8,0,0,0,N/A,N/A,N/A,N/A,1202531,no,10,   36.15,N/A,Verticillium dahliae,JR2,N/A,N/A,N/A,N/A,N/A,N/A
Leishmania aethiopica L147,TriTrypDB,GenBank,GCA_000444285.2,"Dec 16, 2014",yes,0,124,36,8722,104,0,13,8722,4041,44,1206056,no,10,   31.63,GeneDB,Leishmania aethiopica,L147,N/A,N/A,8826,N/A,31025,N/A
Leishmania tropica L590,TriTrypDB,GenBank,GCA_000410715.1,"Dec 16, 2014",yes,0,124,36,8824,114,0,12,8824,4050,59,1206058,no,10,   33.02,GeneDB,Leishmania tropica,L590,N/A,N/A,8938,N/A,29718,N/A
Trypanosoma cruzi Tula cl2,TriTrypDB,GenBank,GCA_000365225.1,n/a,no,43931,1780,0,0,0,0,N/A,N/A,N/A,N/A,1206070,no,10,   83.51,n/a,Trypanosoma cruzi,Tula cl2,N/A,N/A,N/A,N/A,N/A,N/A
Toxoplasma gondii RH-88,ToxoDB,INSDC,GCA_013099955.1,"May 15, 2020",no,0,183,13,8316,338,0,N/A,8316,3600,459,1208370,yes,10,   67.06,GenBank,Toxoplasma gondii,RH-88,N/A,4962,8654,N/A,7623,N/A
Pneumocystis jirovecii SE8,FungiDB,GenBank,GCA_000333975.2,"Dec 13, 2012",yes,0,328,0,3535,217,0,N/A,3535,2712,544,1209962,yes,10,    8.12,GenBank,Pneumocystis jirovecii,SE8,N/A,N/A,3752,N/A,9267,N/A
Cyphellophora europaea CBS 101466,FungiDB,GenBank,GCA_000365145.2,"Mar 21, 2015",yes,0,19,0,11094,59,0,N/A,11094,7701,1361,1220924,no,10,   28.78,GenBank,Cyphellophora europaea,CBS 101466,N/A,N/A,11153,N/A,160,N/A
Mucor circinelloides 1006PhL,FungiDB,GenBank,GCA_000401635.1,"Mar 22, 2015",yes,0,470,0,12227,183,2,N/A,12227,8319,1423,1220926,no,10,   36.35,GenBank,Mucor circinelloides,1006PhL,N/A,2090,12410,N/A,882,N/A
Pythium aphanidermatum DAOM BR444,FungiDB,GenBank,GCA_000387445.2,"Mar 02, 2016",yes,0,1774,0,12305,58,0,N/A,12305,6409,749,1223555,no,10,   35.88,Ensembl,Pythium aphanidermatum,DAOM BR444,N/A,N/A,12363,N/A,5220,N/A
Pythium arrhenomanes ATCC 12531,FungiDB,GenBank,GCA_000387505.2,"Mar 02, 2016",yes,0,10972,0,13805,52,0,N/A,13805,6943,759,1223556,no,10,   44.67,Ensembl,Pythium arrhenomanes,ATCC 12531,N/A,N/A,13857,N/A,566,N/A
Globisporangium irregulare DAOM BR486,FungiDB,GenBank,GCA_000387425.2,"Mar 02, 2016",yes,0,5887,0,13804,65,0,N/A,13804,6997,774,1223557,no,10,   42.97,Ensembl,Globisporangium irregulare,DAOM BR486,N/A,N/A,13869,N/A,529,N/A
Globisporangium iwayamae DAOM BR242034,FungiDB,GenBank,GCA_000387465.2,2014-08-11,yes,0,11542,0,14874,0,0,1,14874,6977,754,1223558,no,10,   43.20,MSU,Globisporangium iwayamae,DAOM BR242034,N/A,N/A,14874,N/A,538,N/A
Globisporangium ultimum var. sporangiiferum BR650,FungiDB,GenBank,GCA_000387525.2,2014-08-11,no,0,5482,0,14086,0,0,N/A,14086,6293,714,1223559,no,10,   37.63,MSU,Globisporangium ultimum,var. sporangiiferum BR650,N/A,N/A,14086,N/A,503,N/A
Phytopythium vexans DAOM BR484,FungiDB,GenBank,GCA_000387545.2,2014-08-11,yes,0,3685,0,11957,34,0,N/A,11957,6546,739,1223560,no,10,   33.84,MSU,Phytopythium vexans,DAOM BR484,N/A,N/A,11991,N/A,152,N/A
Fusarium proliferatum ET1,FungiDB,GenBank,GCA_900067095.1,"Dec 6, 2016",yes,32,0,0,16143,366,0,N/A,16143,10411,1663,1227346,no,10,   45.21,GenBank,Fusarium proliferatum,ET1,N/A,N/A,16509,N/A,117132,N/A
Fusarium oxysporum f. sp. cubense race 1,FungiDB,GenBank,GCA_000350345.1,"Mar 21, 2015",no,0,1341,0,15438,188,0,N/A,15438,10503,1604,1229664,no,10,   47.66,GenBank,Fusarium oxysporum,f. sp. cubense race 1,N/A,1814,15626,N/A,114661,N/A
Malassezia sympodialis ATCC 42132,FungiDB,INSDC,GCF_900149145.1,2017-01-10,yes,0,0,8,4475,143,0,N/A,4475,3601,629,1230383,yes,10,    7.79,RefSeq,Malassezia sympodialis,ATCC 42132,N/A,N/A,4618,N/A,4844,N/A
Plasmodium inui San Antonio 1,PlasmoDB,GenBank,GCA_000524495.1,"Jan 31, 2014",yes,0,323,0,5832,47,0,6,5832,3299,472,1237626,no,10,   27.41,GenBank,Plasmodium inui,San Antonio 1,N/A,N/A,5879,N/A,58600,N/A
Anncaliia algerae PRA109,MicrosporidiaDB,GenBank,GCA_000385855.2,"May 6, 2014",yes,0,7113,0,5245,85,0,N/A,5245,2206,326,1240240,no,10,   17.53,GenBank,Anncaliia algerae,PRA109,N/A,N/A,5330,N/A,32,N/A
Acanthamoeba castellanii str. Neff,AmoebaDB,GenBank,GCA_000313135.1,"Feb 09, 2022",yes,0,384,0,14977,682,682,27,14977,9733,1024,1257118,no,10,   42.02,GenBank,Acanthamoeba castellanii,str. Neff,N/A,2905,15659,N/A,17233,N/A
Ophiostoma piceae UAMH 11346,FungiDB,INSDC,GCA_000410735.1,"Mar 22, 2015",yes,0,45,0,8884,0,0,N/A,8884,6464,908,1262450,no,10,   32.84,GenBank,Ophiostoma piceae,UAMH 11346,N/A,3,8884,N/A,3207,N/A
Plasmodium vivax Sal-1,PlasmoDB,GenBank,GCA_000002415.2,"Jun 18, 2015",no,2733,0,14,5530,135,56,250,5530,3719,867,126793,yes,10,   27.01,GeneDB,Plasmodium vivax,Sal-1,N/A,3621,5665,N/A,66990,N/A
Blumeria graminis f. sp. tritici 96224,FungiDB,INSDC,GCF_900519115.1,2019-08-27,yes,0,0,12,8347,123,122,N/A,8347,3658,7,1268274,no,10,  140.80,RefSeq,Blumeria graminis,f. sp. tritici 96224,N/A,2138,8470,N/A,1076,N/A
Plasmodium cynomolgi strain M,PlasmoDB,GenBank,GCA_900180395.1,"Oct 23, 2017",yes,40,0,14,6068,763,597,6,6068,2438,293,1274352,yes,10,   30.66,Sanger,Plasmodium cynomolgi,strain M,N/A,N/A,6831,N/A,76905,N/A
Zymoseptoria tritici ST99CH_3D1,FungiDB,INSDC,GCA_900184105.1,"Jun 17, 2020",no,0,0,21,11991,0,0,N/A,11991,5888,1,1276537,no,10,   40.66,GenBank,Zymoseptoria tritici,ST99CH_3D1,N/A,6328,11991,N/A,1157,N/A
Cladophialophora carrionii CBS 160.54,FungiDB,INSDC,GCA_000365165.2,"Dec 13, 2013",no,0,19,0,10373,55,8,N/A,10373,7298,947,1279043,no,10,   28.99,GenBank,Cladophialophora carrionii,CBS 160.54,N/A,N/A,10428,N/A,161,N/A
Fusarium fujikuroi IMI 58289,FungiDB,GenBank,GCA_900079805.1,"Jan 12, 2016",yes,0,0,12,14813,286,0,7,14813,9754,1627,1279085,no,10,   43.83,GenBank,Fusarium fujikuroi,IMI 58289,N/A,96,15099,N/A,123661,N/A
Anncaliia algerae PRA339,MicrosporidiaDB,GenBank,GCA_000385875.2,"May 6, 2014",no,0,431,0,3598,63,0,N/A,3598,1616,229,1288291,no,10,   12.16,GenBank,Anncaliia algerae,PRA339,N/A,N/A,3661,N/A,2,N/A
Leishmania panamensis MHOM/COL/81/L13,TriTrypDB,GenBank,GCA_000340495.1,"Dec 16, 2014",yes,0,820,36,8665,113,0,12,8665,3930,62,1295824,no,10,   31.26,GeneDB,Leishmania panamensis,MHOM/COL/81/L13,N/A,N/A,8778,N/A,37300,N/A
Leishmania braziliensis MHOM/BR/75/M2903,TriTrypDB,GenBank,GCA_000340355.2,"Dec 16, 2014",no,0,709,36,9269,110,0,16,9269,4055,86,1295825,no,10,   35.21,GeneDB,Leishmania braziliensis,MHOM/BR/75/M2903,N/A,1,9379,N/A,37353,N/A
Kwoniella bestiolae CBS 10118,FungiDB,GenBank,GCA_000512585.2,"Jul 20, 2016",yes,0,12,0,9133,137,0,N/A,9133,5698,943,1296100,no,10,   24.36,GenBank,Kwoniella bestiolae,CBS 10118,N/A,N/A,9270,N/A,241,N/A
Cryptococcus gattii EJB2,FungiDB,GenBank,GCA_000835745.1,"Feb 17, 2015",no,0,282,0,6763,145,0,N/A,6763,4693,875,1296103,no,10,   17.67,GenBank,Cryptococcus gattii VGI,EJB2,N/A,N/A,6908,N/A,66,N/A
Cryptococcus gattii VGIV IND107,FungiDB,GenBank,GCA_000835755.1,"Feb 17, 2015",no,0,34,0,6696,147,0,1,6696,4586,854,1296105,no,10,   17.65,GenBank,Cryptococcus gattii VGIV,IND107,N/A,N/A,6843,N/A,67,N/A
Cryptococcus gattii NT-10,FungiDB,GenBank,GCA_000935105.1,"Mar 5, 2015",no,0,226,0,6744,243,0,N/A,6744,3920,564,1296108,no,10,   18.03,GenBank,Cryptococcus gattii VGI,NT10,N/A,N/A,6987,N/A,319,N/A
Cryptococcus gattii CA1873,FungiDB,GenBank,GCA_000855695.1,"Feb 17, 2015",no,0,33,0,6634,148,0,1,6634,3838,553,1296111,no,10,   17.44,GenBank,Cryptococcus gattii VGIII,CA1873,N/A,N/A,6782,N/A,67,N/A
Kwoniella heveanensis CBS 569,FungiDB,GenBank,GCA_000507425.3,"Jul 20, 2016",yes,0,242,0,7871,131,0,N/A,7871,5312,917,1296119,no,10,   25.25,GenBank,Kwoniella heveanensis,CBS 569,N/A,N/A,8002,N/A,220,N/A
Kwoniella dejecticola CBS 10117,FungiDB,GenBank,GCA_000512565.2,"Jun 22, 2016",yes,0,13,0,8602,122,0,N/A,8602,5586,935,1296121,no,10,   23.86,GenBank,Kwoniella dejecticola,CBS 10117,N/A,N/A,8724,N/A,238,N/A
Kwoniella mangroviensis CBS 8507,FungiDB,INSDC,GCA_000507465.3,2016-07-20,yes,0,62,0,8422,133,5,N/A,8422,4548,N/A,1296122,no,10,   22.65,GenBank,Kwoniella mangrovensis,CBS8507,N/A,N/A,8555,N/A,240,N/A
Mastigamoeba balamuthi ATCC 30984,AmoebaDB,INSDC,GCA_902651635.1,"May 05, 2021",yes,0,1925,0,14696,0,0,N/A,14696,7574,41,1313166,no,10,   57.27,TachezyLab,Mastigamoeba balamuthi,ATCC 30984,N/A,3018,14696,N/A,37,N/A
Aspergillus niger ATCC 13496,FungiDB,GenBank,GCA_003344705.1,"Jul 31, 2018",no,0,133,0,12194,274,0,1,12194,8475,1508,1353008,no,10,   35.69,GenBank,Aspergillus niger,ATCC 13496,N/A,5856,12468,N/A,50130,N/A
Ordospora colligata OC4,MicrosporidiaDB,GenBank,GCA_000803265.1,"Dec 17, 2014",yes,15,0,0,1820,59,0,N/A,1820,1265,204,1354746,no,10,    2.29,GenBank,Ordospora colligata,OC4,N/A,N/A,1879,N/A,N/A,N/A
Encephalitozoon cuniculi EcunIII-L,MicrosporidiaDB,GenBank,GCA_001078035.1,"Jul 15, 2015",no,0,0,15,1834,62,11,N/A,1834,1077,124,1355160,no,10,    2.29,GenBank,Encephalitozoon cuniculi,EcunIII-L,N/A,18,1896,N/A,63,N/A
Spraguea lophii 42_110,MicrosporidiaDB,GenBank,GCA_000430065.1,"Sep 12, 2013",yes,1392,0,0,2499,97,44,N/A,2499,1605,229,1358809,no,10,    4.98,GenBank,Spraguea lophii,42_110,N/A,N/A,2596,N/A,1,N/A
Plasmodium falciparum HB3,PlasmoDB,GenBank,GCA_900631985.1,"Apr 20, 2018",no,12,0,14,5186,275,141,10,5186,2975,1082,137071,yes,10,   22.81,Sanger,Plasmodium falciparum,HB3,N/A,3957,5461,N/A,106089,N/A
Aspergillus campestris IBT 28561,FungiDB,GenBank,GCA_002847485.1,"Dec. 27, 2017",yes,62,0,0,9756,173,0,N/A,9756,6965,1289,1392248,no,10,   28.26,GenBank,Aspergillus campestris,IBT 28561,N/A,N/A,9929,N/A,66530,N/A
Aspergillus steynii IBT 23096,FungiDB,GenBank,GCA_002849105.1,"Dec. 30, 2017",yes,37,0,0,13195,235,0,N/A,13195,9053,1523,1392250,no,10,   37.85,GenBank,Aspergillus steynii,IBT 23096,N/A,N/A,13430,N/A,73227,N/A
Aspergillus novofumigatus IBT 16806,FungiDB,GenBank,GCA_002847465.1,"Dec. 27, 2017",yes,62,0,0,11532,197,0,1,11532,7884,1414,1392255,no,10,   32.44,GenBank,Aspergillus novofumigatus,IBT 16806,N/A,N/A,11729,N/A,67617,N/A
Aspergillus ochraceoroseus IBT 24754,FungiDB,GenBank,GCA_002846915.2,"Apr 16, 2018",yes,34,0,0,8917,153,0,N/A,8917,6156,1166,1392256,no,10,   27.72,GenBank,Aspergillus ochraceoroseus,IBT 24754,N/A,N/A,9070,N/A,68974,N/A
Cryptococcus neoformans var. neoformans XL280,FungiDB,INSDC,GCA_002216205.1,N/A,no,0,32,5,0,0,0,N/A,N/A,N/A,N/A,1396488,no,10,   19.05,N/A,Cryptococcus neoformans,var. neoformans XL280,N/A,N/A,N/A,N/A,N/A,N/A
Sporothrix schenckii 1099-18,FungiDB,GenBank,GCA_000961545.1,"Mar 24, 2015",yes,15,0,0,10293,141,0,N/A,10293,6524,1167,1397361,yes,10,   32.38,GenBank,Sporothrix schenckii,1099-18,N/A,N/A,10434,N/A,10645,N/A
Sporothrix brasiliensis 5110,FungiDB,GenBank,GCA_000820605.1,"Jan 16, 2015",yes,12,0,0,9091,140,0,N/A,9091,6244,1135,1398154,yes,10,   33.21,GenBank,Sporothrix brasiliensis,5110,N/A,N/A,9231,N/A,8901,N/A
Pneumocystis jirovecii RU7,FungiDB,INSDC,GCA_001477535.1,"Dec 22, 2015",no,0,70,0,3761,50,0,N/A,3761,2971,N/A,1408657,no,10,    8.40,GenBank,Pneumocystis jirovecii,RU7,N/A,N/A,3811,N/A,10608,N/A
Trypanosoma cruzi Dm28c 2014,TriTrypDB,GenBank,GCA_000496795.1,"Nov 13, 2013",no,1210,0,0,11348,50,0,29,11348,5883,533,1416333,no,10,   27.35,GenBank,Trypanosoma cruzi,Dm28c 2014,N/A,1556,11398,N/A,29570,N/A
Fonsecaea pedrosoi CBS 271.37,FungiDB,GenBank,GCA_000835455.1,"Feb 23, 2015",yes,0,11,0,12527,46,0,N/A,12527,8604,1396,1442368,no,10,   34.69,GenBank,Fonsecaea pedrosoi,CBS 271.37,N/A,N/A,12573,N/A,278,N/A
Rhinocladiella mackenziei CBS 650.93,FungiDB,INSDC,GCA_000835555.1,2015-02-23,yes,0,17,0,11382,36,3,N/A,11382,7823,981,1442369,no,10,   32.47,GenBank,Rhinocladiella mackenziei,CBS 650.93,N/A,N/A,11418,N/A,23,N/A
Cladophialophora bantiana CBS 173.52,FungiDB,INSDC,GCA_000835475.1,"Feb 23, 2015",yes,0,60,0,12762,55,4,N/A,12762,8516,1026,1442370,no,10,   36.72,GenBank,Cladophialophora bantiana,CBS 173.52,N/A,N/A,12817,N/A,147,N/A
Emergomyces pasteurianus Ep9510,FungiDB,INSDC,GCA_001883825.1,"Nov 18, 2016",yes,0,1643,0,8950,128,12,N/A,8950,5731,900,1447872,no,10,   32.41,GenBank,Emergomyces pasteurianus,Ep9510,N/A,N/A,9078,N/A,55,N/A
Aspergillus eucalypticola CBS 122712,FungiDB,INSDC,GCA_003184535.1,"Jun 04, 2018",yes,0,131,0,11933,274,4,N/A,11933,8455,1145,1448314,no,10,   34.79,GenBank,Aspergillus eucalypticola,CBS 122712,N/A,N/A,12207,N/A,68281,N/A
Aspergillus fijiensis CBS 313.89,FungiDB,INSDC,GCA_003184825.1,"Jun 22, 2018",yes,0,149,0,12018,318,3,N/A,12018,6993,N/A,1448319,no,10,   36.51,GenBank,Aspergillus fijiensis,CBS 313.89,N/A,N/A,12336,N/A,50116,N/A
Aspergillus heteromorphus CBS 117.55,FungiDB,INSDC,GCA_003184545.1,"Jun 04, 2018",yes,0,205,0,11130,306,1,N/A,11130,7495,1046,1448321,no,10,   35.61,GenBank,Aspergillus heteromorphus,CBS 117.55,N/A,N/A,11436,N/A,67266,N/A
Theileria equi strain WA,PiroplasmaDB,GenBank,GCA_000342415.1,"Aug 21, 2014",yes,0,8,2,5329,68,0,N/A,5329,2772,829,1537102,yes,10,   11.67,GenBank,Theileria equi,strain WA,N/A,N/A,5397,N/A,4392,N/A
Cryptosporidium sp. chipmunk LX-2015,CryptoDB,GenBank,GCA_000831705.1,n/a,yes,853,0,0,0,0,0,N/A,N/A,N/A,N/A,1603071,no,10,    9.51,n/a,Cryptosporidium sp.,chipmunk LX-2015,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles gambiae PEST,VectorBase,INSDC,GCA_000005575.2,AgamP4.14,yes,0,145,7,13107,738,9,3,13107,10726,541,180454,yes,10,  281.38,VectorBase,Anopheles gambiae,PEST,N/A,10063,13845,13276,N/A,8169
Giardia Assemblage A isolate WB,GiardiaDB,GenBank,GCA_000002435.1,"Mar 10, 2010",yes,133,73,5,9667,80,2,441,5901,3396,469,184922,no,10,   12.83,GenBank,Giardia Assemblage A,isolate WB,N/A,3215,9747,5870,16085,3735
Trypanosoma brucei brucei TREU927,TriTrypDB,GenBank,GCA_000002445.1,"Nov 01, 2020",yes,115,0,16,9660,2104,1475,4189,9660,8696,1144,185431,no,10,   35.83,GeneDB,Trypanosoma brucei,brucei TREU927,8063,1405,11764,10873,41718,7541
